2023-03-14 17:48:25.693 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:25.939 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:26.182 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985230565071106 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:26.421 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985246062278748 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:26.663 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:26.902 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:27.153 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:27.393 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985216856002808 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:27.642 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:27.909 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:28.172 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:28.456 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:28.709 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985202550888062 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:28.970 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:29.246 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:29.511 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:29.775 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
