2023-03-13 21:08:41.525 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:41.776 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.044 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.306 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.563 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:42.828 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.082 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.358 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.640 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980679154396057 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:43.915 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.181 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980690479278564 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.457 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980683922767639 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.715 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980690479278564 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:44.989 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:45.283 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:45.550 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:45.819 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:46.075 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:46.326 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980692863464355 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:46.580 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:46.841 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:47.095 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:47.341 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:47.581 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:47.833 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:48.100 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:48.357 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:48.618 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:48.887 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998068630695343 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:49.173 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:49.462 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:49.746 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:50.026 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:50.307 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:50.598 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:50.898 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980697631835938 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:51.212 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980683922767639 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:51.500 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980690479278564 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:51.753 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980679154396057 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:52.011 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:52.265 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:52.513 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:52.756 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:53.013 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:53.285 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:53.568 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:53.851 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:54.126 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:54.387 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998068630695343 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:54.659 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:54.933 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980688691139221 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:55.205 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:55.463 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998069167137146 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:55.714 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677962303162 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:55.966 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998069167137146 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:56.214 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998069167137146 位置 (260, 890) 缩放类型 none 缩放比例 1
